episode,score,length
1,220.0,377
2,500.0,621
3,330.0,451
4,1590.0,787
5,300.0,513
6,250.0,411
7,580.0,659
8,420.0,423
9,500.0,553
10,370.0,553
11,260.0,523
12,480.0,455
13,520.0,541
14,460.0,583
15,340.0,507
16,330.0,427
17,440.0,505
18,440.0,557
19,320.0,493
20,310.0,461
21,1210.0,977
22,340.0,483
23,310.0,553
24,620.0,679
25,340.0,499
26,1150.0,671
27,320.0,641
28,390.0,467
29,370.0,471
30,480.0,709
31,260.0,499
32,420.0,669
33,980.0,999
34,310.0,483
35,390.0,503
36,320.0,493
37,600.0,791
38,870.0,689
39,1090.0,781
40,750.0,679
41,420.0,657
42,580.0,785
43,280.0,539
44,790.0,739
45,300.0,571
46,320.0,465
47,560.0,795
48,1170.0,791
49,400.0,621
50,270.0,501
51,510.0,627
52,760.0,743
53,420.0,545
54,680.0,731
55,760.0,681
56,360.0,503
57,1410.0,719
58,280.0,417
59,330.0,595
60,380.0,491
61,280.0,437
62,790.0,861
63,460.0,741
64,490.0,575
65,120.0,285
66,270.0,375
67,330.0,427
68,310.0,369
69,510.0,653
70,250.0,421
71,280.0,427
72,490.0,599
73,1390.0,935
74,1520.0,765
75,720.0,589
76,760.0,657
77,300.0,525
78,380.0,531
79,210.0,353
80,610.0,735
81,750.0,625
82,190.0,447
83,320.0,449
84,370.0,575
85,790.0,673
86,530.0,537
87,280.0,391
88,680.0,567
89,280.0,455
90,360.0,537
91,1510.0,739
92,610.0,675
93,570.0,631
94,600.0,505
95,590.0,589
96,420.0,571
97,350.0,421
98,440.0,489
99,410.0,471
100,590.0,633
101,860.0,797
102,260.0,451
103,410.0,475
104,680.0,743
105,320.0,429
106,650.0,661
107,530.0,877
108,290.0,471
109,750.0,687
110,410.0,517
111,780.0,673
112,320.0,577
113,310.0,581
114,320.0,369
115,360.0,471
116,390.0,483
117,440.0,607
118,360.0,539
119,820.0,779
120,380.0,561
121,620.0,709
122,480.0,551
123,630.0,633
124,870.0,831
125,650.0,779
126,290.0,483
127,510.0,709
128,260.0,437
129,540.0,741
130,1130.0,905
131,1980.0,747
132,320.0,507
133,980.0,771
134,300.0,531
135,440.0,463
136,550.0,661
137,380.0,557
138,700.0,867
139,440.0,535
140,590.0,739
141,530.0,633
142,490.0,693
143,540.0,663
144,500.0,539
145,520.0,547
146,320.0,483
147,570.0,679
148,680.0,563
149,720.0,695
150,400.0,531
151,480.0,489
152,340.0,527
153,390.0,523
154,600.0,689
155,510.0,747
156,740.0,565
157,570.0,719
158,600.0,583
159,390.0,545
160,290.0,503
161,690.0,689
162,300.0,441
163,470.0,527
164,540.0,623
165,820.0,725
166,280.0,551
167,330.0,519
168,230.0,551
169,260.0,429
170,290.0,615
171,460.0,485
172,1180.0,867
173,640.0,733
174,490.0,511
175,420.0,713
176,250.0,565
177,240.0,491
178,830.0,783
179,410.0,581
180,450.0,535
181,390.0,529
182,270.0,477
183,360.0,517
184,760.0,761
185,340.0,569
186,740.0,735
187,470.0,661
188,320.0,475
189,410.0,581
190,330.0,645
191,240.0,461
192,160.0,337
193,2790.0,1071
194,410.0,551
195,380.0,559
196,390.0,623
197,560.0,541
198,490.0,489
199,530.0,499
200,720.0,647
201,620.0,631
202,300.0,547
203,310.0,399
204,350.0,503
205,360.0,509
206,420.0,637
207,310.0,501
208,410.0,483
209,460.0,615
210,210.0,417
211,250.0,417
212,760.0,783
213,280.0,545
214,460.0,545
215,880.0,671
216,310.0,413
217,720.0,693
218,330.0,535
219,1170.0,681
220,450.0,531
221,340.0,713
222,320.0,465
223,220.0,321
224,770.0,703
225,350.0,429
226,320.0,447
227,450.0,573
228,850.0,743
229,430.0,659
230,320.0,497
231,280.0,533
232,740.0,635
233,600.0,577
234,280.0,413
235,410.0,691
236,630.0,717
237,1120.0,645
238,390.0,433
239,280.0,425
240,790.0,655
241,220.0,431
242,980.0,671
243,300.0,449
244,280.0,473
245,270.0,415
246,370.0,583
247,510.0,635
248,320.0,455
249,2050.0,727
250,380.0,533
251,600.0,693
252,580.0,581
253,890.0,783
254,1000.0,825
255,820.0,701
256,980.0,589
257,480.0,627
258,700.0,681
259,1200.0,747
260,330.0,505
261,600.0,753
262,300.0,365
263,490.0,537
264,230.0,469
265,1240.0,935
266,370.0,481
267,300.0,321
268,470.0,541
269,410.0,485
270,250.0,411
271,410.0,547
272,520.0,519
273,270.0,517
274,450.0,565
275,430.0,561
276,620.0,653
277,360.0,417
278,670.0,593
279,2130.0,1059
280,560.0,569
281,1480.0,931
282,1060.0,717
283,260.0,441
284,750.0,671
285,840.0,937
286,530.0,671
287,290.0,433
288,400.0,433
289,290.0,361
290,310.0,481
291,800.0,717
292,890.0,701
293,480.0,559
294,400.0,607
295,330.0,433
296,450.0,635
297,450.0,529
298,380.0,421
299,500.0,447
300,250.0,397
301,320.0,455
302,350.0,453
303,200.0,389
304,210.0,375
305,250.0,479
306,320.0,447
307,370.0,463
308,560.0,663
309,810.0,687
310,1240.0,561
311,910.0,925
312,210.0,311
313,410.0,401
314,660.0,551
315,1140.0,661
316,260.0,393
317,210.0,369
318,520.0,575
319,430.0,577
320,670.0,503
321,560.0,769
322,300.0,477
323,610.0,571
324,470.0,517
325,600.0,489
326,450.0,491
327,280.0,369
328,340.0,521
329,1000.0,561
330,1760.0,973
331,570.0,901
332,1190.0,807
333,270.0,495
334,570.0,527
335,1160.0,845
336,610.0,551
337,550.0,533
338,230.0,447
339,1040.0,617
340,430.0,445
341,630.0,691
